# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_426180	hCoV-19/Korea/KCDC2010/2020	Asia / South Korea	2/5/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426181	hCoV-19/Korea/KCDC2011/2020	Asia / South Korea	2/23/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426182	hCoV-19/Korea/KCDC2012/2020	Asia / South Korea	2/9/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426183	hCoV-19/Korea/KCDC2013/2020	Asia / South Korea	2/23/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426187	hCoV-19/Korea/KCDC2014/2020	Asia / South Korea	2/12/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_411915	hCoV-19/Taiwan/CGMH-CGU-01/2020	Asia / Taiwan / Taoyuan	1/25/20	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao, Yu-Nong Gong, Shu-Li Yang, Yi-Chun Li, Chung-Guei Huang, Yhu-Chering Huang, Shin-Ru Shih
EPI_ISL_411902	hCoV-19/Cambodia/0012/2020	Asia / Cambodia / Sihanoukville	1/27/20	Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub) 	Erik A Karlsson, Jennifer A Bohl, Vida Ahyong, Veasna Duong, Philippe Dussart, Jessica E Manning.
EPI_ISL_426163	hCoV-19/Korea/KCDC2003/2020	Asia / South Korea	2/23/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426164	hCoV-19/Korea/KCDC2004/2020	Asia / South Korea	2/2/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Dong Hyun Song, Daesang Lee, Seong Tae Jeong, Myung Guk Han
EPI_ISL_426166	hCoV-19/Korea/KCDC2005/2020	Asia / South Korea	2/4/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426167	hCoV-19/Korea/KCDC2003/2020	Asia / South Korea	2/23/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426168	hCoV-19/Korea/KCDC2006/2020	Asia / South Korea	2/2/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_426169	hCoV-19/Korea/KCDC2007/2020	Asia / South Korea	2/5/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Dong Hyun Song, Daesang Lee, Seong Tae Jeong, Myung Guk Han
EPI_ISL_426171	hCoV-19/Korea/KCDC2008/2020	Asia / South Korea	2/5/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Dong Hyun Song, Daesang Lee, Seong Tae Jeong, Myung Guk Han
EPI_ISL_426173	hCoV-19/Korea/KCDC2009/2020	Asia / South Korea	2/7/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Jun-Sub Kim, Junhyeong Jang, Myung Guk Han
EPI_ISL_411926	hCoV-19/Taiwan/3/2020	Asia / Taiwan / Taipei	1/24/20	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	Ji-Rong Yang, Yu-Chi-Lin, Jung-Jung Mu, Ming-Tsan-Liu
EPI_ISL_411927	hCoV-19/Taiwan/4/2020	Asia / Taiwan / Taipei	1/28/20	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	Ji-Rong Yang, Yu-Chi-Lin, Jung-Jung Mu, Ming-Tsan-Liu
EPI_ISL_426179	hCoV-19/India/c31/2020	Asia / India	3/2/20	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav, Varsha Potdar, Savita Patil, Dimpal A. Nyayanit, Triparna Majumdar, Manohar. L. Chaudhary, Gururaj Deshpande, Padinjaremattathil Thankappan Ullas, Anita Shete-Aich, Hitesh Dighe, Sreelekshmy Mohandas, Gajanan Sapkal, Atanu Basu, Amita Jain, Bharti Malhotra, Deepika Chaudhary, Sarah Cherian, Priya Abraham
EPI_ISL_416731	hCoV-19/England/SHEF-BFCC0/2020	Europe / England / Northamtonshire	3/3/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans
EPI_ISL_416732	hCoV-19/England/SHEF-BFCDF/2020	Europe / England / London	3/3/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans
EPI_ISL_416730	hCoV-19/England/SHEF-BFCB1/2020	Europe / England / South Yorkshire	3/3/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans
EPI_ISL_416733	hCoV-19/England/SHEF-BFCEE/2020	Europe / England / South Yorkshire	3/7/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans
EPI_ISL_416750	hCoV-19/France/Lyon_683/2020	Europe / France / ARA	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416753	hCoV-19/France/Lyon_06464 /2020	Europe / France / ARA	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416754	hCoV-19/France/Lyon_06487/2020	Europe / France / ARA	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416751	hCoV-19/France/Clermont-Ferrand_651/2020	Europe / France / ARA	3/5/20	CHU Gabriel Montpied	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416752	hCoV-19/France/Clermont-Ferrand_650/2020	Europe / France / ARA	3/4/20	CHU Gabriel Montpied	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416757	hCoV-19/France/Bourg-en-Bresse_06678/2020	Europe / France / ARA	3/7/20	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416758	hCoV-19/France/Lyon_0693/2020	Europe / France / ARA	3/8/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416756	hCoV-19/France/Lyon_06531/2020	Europe / France / ARA	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416748	hCoV-19/France/Lyon_508/2020	Europe / France / ARA	3/4/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416749	hCoV-19/France/Valence_532/2020	Europe / France / ARA	3/4/20	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416740	hCoV-19/England/SHEF-BFD54/2020	Europe / England / South Yorkshire	3/3/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans
EPI_ISL_416746	hCoV-19/France/Valence_425/2020	Europe / France / ARA	3/3/20	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_416747	hCoV-19/France/Lyon_487/2020	Europe / France / ARA	3/4/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno.
EPI_ISL_402129	hCoV-19/Wuhan/WIV06/2019	Asia / China / Hubei / Wuhan	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi
EPI_ISL_402130	hCoV-19/Wuhan/WIV07/2019	Asia / China / Hubei / Wuhan	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi
EPI_ISL_402132	hCoV-19/Wuhan/HBCDC-HB-01/2019	Asia / China / Hubei / Wuhan	12/30/19	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.
EPI_ISL_402119	hCoV-19/Wuhan/IVDC-HB-01/2019	Asia / China / Hubei / Wuhan	12/30/19	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan，Xiang Zhao，Wenling Wang，Xuejun Ma，Yongzhong Jiang，Roujian Lu, Ji Wang, Weimin Zhou，Peihua Niu，Peipei Liu，Faxian Zhan，Weifeng Shi，Baoying Huang，Jun Liu，Li Zhao，Yao Meng，Xiaozhou He，Fei Ye，Na Zhu，Yang Li，Jing Chen，Wenbo Xu，George F. Gao，Guizhen Wu
EPI_ISL_402120	hCoV-19/Wuhan/IVDC-HB-04/2020	Asia / China / Hubei / Wuhan	1/1/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan，Xiang Zhao，Wenling Wang，Xuejun Ma，Yongzhong Jiang，Roujian Lu，Ji Wang，Weimin Zhou，Peihua Niu，Peipei Liu，Faxian Zhan，Weifeng Shi，Baoying Huang，Jun Liu，Li Zhao，Yao Meng，Xiaozhou He，Fei Ye，Na Zhu，Yang Li，Jing Chen，Wenbo Xu，George F. Gao，Guizhen Wu
EPI_ISL_402123	hCoV-19/Wuhan/IPBCAMS-WH-01/2019	Asia / China / Hubei / Wuhan	12/24/19	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu
EPI_ISL_402124	hCoV-19/Wuhan/WIV04/2019	Asia / China / Hubei / Wuhan	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi
EPI_ISL_402121	hCoV-19/Wuhan/IVDC-HB-05/2019	Asia / China / Hubei / Wuhan	12/30/19	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan，Xuejun Ma，Xiang Zhao，Wenling Wang，Yongzhong Jiang，Roujian Lu，Ji Wang，Peihua Niu, Weimin Zhou, Faxian Zhan，Weifeng Shi，Baoying Huang，Jun Liu，Li Zhao，Yao Meng，Fei Ye，Na Zhu, Xiaozhou He，Peipei Liu, Yang Li，Jing Chen，Wenbo Xu，George F. Gao，Guizhen Wu
EPI_ISL_402127	hCoV-19/Wuhan/WIV02/2019	Asia / China / Hubei / Wuhan	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi
EPI_ISL_402128	hCoV-19/Wuhan/WIV05/2019	Asia / China / Hubei / Wuhan	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi
EPI_ISL_402125	hCoV-19/Wuhan-Hu-1/2019	Asia / China	12/31/19	unknown	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang,Y.-Z., Wu,F., Chen,Y.-M., Pei,Y.-Y., Xu,L., Wang,W., Zhao,S., Yu,B., Hu,Y., Tao,Z.-W., Song,Z.-G., Tian,J.-H., Zhang,Y.-L., Liu,Y., Zheng,J.-J., Dai,F.-H., Wang,Q.-M., She,J.-L. and Zhu,T.-Y.
EPI_ISL_415454	hCoV-19/Switzerland/GE1422/2020	Europe / Switzerland	2/28/20	Hôpitaux universitaires de Genève Laboratoire de Virologie 	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F.
EPI_ISL_415456	hCoV-19/Switzerland/BE6651/2020	Europe / Switzerland	2/29/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F.
EPI_ISL_415455	hCoV-19/Switzerland/GE0199/2020	Europe / Switzerland	2/28/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F.
EPI_ISL_415458	hCoV-19/Switzerland/GE8102/2020	Europe / Switzerland	3/1/20	Hôpitaux universitaires de Genève Laboratoire de Virologie 	Hôpitaux universitaires de Genève Laboratoire de Virologie 	Laubscher F.
EPI_ISL_415457	hCoV-19/Switzerland/AG7120/2020	Europe / Switzerland	2/29/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F.
EPI_ISL_415459	hCoV-19/Switzerland/VD0503/2020	Europe / Switzerland / Genève	2/29/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F.
EPI_ISL_421246	hCoV-19/Nanchang/JXN3T4/2020	Asia / China / Jiangxi / Nanchang	2/26/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421243	hCoV-19/Nanchang/JX14/2020	Asia / China / Jiangxi / Nanchang	1/21/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421244	hCoV-19/Shangrao/JX29/2020	Asia / China / Jiangxi / Shangrao	1/22/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421241	hCoV-19/Nanchang/JX177/2020	Asia / China / Jiangxi / Nanchang	1/30/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421242	hCoV-19/Ganzhou/JX81/2020	Asia / China / Jiangxi / Ganzhou	1/25/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421240	hCoV-19/Shangrao/JX1948/2020	Asia / China / Jiangxi / Shangrao	2/5/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421238	hCoV-19/Nanchang/JX174/2020	Asia / China / Jiangxi / Nanchang	1/29/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421239	hCoV-19/Shangrao/JX105/2020	Asia / China / Jiangxi / Shangrao	1/26/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421236	hCoV-19/Hangzhou/HZCDC0012/2020	Asia / China / Hangzhou	1/20/20	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_421237	hCoV-19/Jiujiang/JX22/2020	Asia / China / Jiangxi / Jiujiang	1/22/20	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421234	hCoV-19/Hangzhou/HZCDC0025/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_421235	hCoV-19/Hangzhou/HZCDC0013/2020	Asia / China / Hangzhou	1/20/20	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_421232	hCoV-19/Hangzhou/HZCDC0048L/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_421233	hCoV-19/Hangzhou/HZCDC0048/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_421231	hCoV-19/Hangzhou/HZCDC0049L/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
